Article Number,Description,Identifier,Keywords,Price,Price quantity,Prices+,Sold individually,height,length,operatingWeight,productType,weight,width,description
YD40000702,,COVER,,0.0 INR:N::1 EA::,1.0,0.0 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi COVER spare part designed for durability and precise fit on compatible construction machinery models.
YD00008723,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality rubber seal (P/N: SEAL;RUBBER) for Tata Hitachi construction machinery, providing superior sealing performance and reliability in various applications."
YD00004167,,* ROLLER,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part roller designed for durability and performance in construction machinery, compatible with various models."
YD00001375,,BUSHING;RUBBER,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi rubber bushing (P/N: BUSHING;RUBBER) designed for durability and precision fit in compatible construction machinery models.
YD00010097,,INSULATOR,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi INSULATOR spare part for enhanced machine insulation and performance in construction machinery.
YD00003341,,HOSE,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part HOSE for efficient fluid transfer in construction machinery, compatible with various models for reliable performance."
YD00000772,,HOSE,,5235.66 INR:N::1 EA::,1.0,5235.66 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi spare hose (P/N: HOSE) for enhanced fluid transfer efficiency in various construction machinery models.
YD00002131,,SEAL;RUBBER,,,1.0,,True,,,,SpareParts,,,"High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) for enhanced sealing performance in construction machinery, compatible with various models."
YD00011148,,INSULATOR,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi INSULATOR spare part designed for optimal performance in compatible construction machinery models.
YD00006406,,PLATE,,,1.0,,True,,,,SpareParts,,,High-quality Tata Hitachi spare part PLATE for enhanced durability and performance in compatible construction machinery models.
YD40002054,,PIPE,,4761.3 INR:N::1 EA::,1.0,4761.3 INR:N::1 EA::,True,,,,SpareParts,,,"High-quality Tata Hitachi spare part PIPE for construction machinery, designed for durability and precise fitment in compatible machine models."
YD00008711,,SEAL;RUBBER,,1667.34 INR:N::1 EA::,1.0,1667.34 INR:N::1 EA::,True,,,,SpareParts,,,High-quality Tata Hitachi rubber seal (P/N: SEAL;RUBBER) designed for durability and precision fit in compatible construction machinery models.
